LEMMA|POS,LEMMA,POS,FREQUENCY,INFLECTIONS
disappointment|n,disappointment,n,46,"disappointment, disappointments"
drawing|n,drawing,n,46,"drawing, drawings"
dumpster|n,dumpster,n,46,"dumpster, dumpsters"
feather|n,feather,n,46,"feather, feathers"
feature|v,feature,v,46,"feature, featured, features, featuring"
furious|j,furious,j,46,furious
goddess|n,goddess,n,46,"goddess, goddesses"
housekeeper|n,housekeeper,n,46,"housekeeper, housekeepers"
immature|j,immature,j,46,immature
jackpot|n,jackpot,n,46,"jackpot, jackpots"
janitor|n,janitor,n,46,"janitor, janitors"
jungle|n,jungle,n,46,"jungle, jungles"
Korean|K,Korean,K,46,"Korean, Koreans"
lasagna|n,lasagna,n,46,"lasagna, lasagnas, lasagne, lasagnes"
liberty|n,liberty,n,46,"liberty, liberties"
opponent|n,opponent,n,46,"opponent, opponents"
penguin|n,penguin,n,46,"penguin, penguins"
photographer|n,photographer,n,46,"photographer, photographers"
process|v,process,v,46,"process, processed, processes, processing"
psychic|j,psychic,j,46,psychic
puffy|j,puffy,j,46,"puffy, puffier, puffiest"
quote|n,quote,n,46,"quote, quotes"
racket|n,racket,n,46,"racket, rackets, racquet, racquets"
region|n,region,n,46,"region, regions"
robe|n,robe,n,46,"robe, robes"
sea|j,sea,j,46,sea
sew|v,sew,v,46,"sew, sewed, sewing, sewn, sews"
shatter|v,shatter,v,46,"shatter, shattered, shattering, shatters"
sickness|n,sickness,n,46,sickness
sidekick|n,sidekick,n,46,"sidekick, sidekicks"
skank|n,skank,n,46,"skank, skanks"
spice|n,spice,n,46,"spice, spices"
starter|n,starter,n,46,"starter, starters"
stir|v,stir,v,46,"stir, stirred, stirring, stirs"
structure|n,structure,n,46,"structure, structures"
sub|n,sub,n,46,"sub, subs"
tampon|n,tampon,n,46,"tampon, tampons"
touchdown|n,touchdown,n,46,"touchdown, touchdowns"
pimp|n,pimp,n,46,"pimp, pimps"
brief|j,brief,j,46,"brief, briefer, briefest"
anxiety|n,anxiety,n,45,"anxiety, anxieties"
approach|n,approach,n,45,"approach, approaches"
bay|n,bay,n,45,"bay, bays"
beat|n,beat,n,45,"beat, beats"
buzz|n,buzz,n,45,"buzz, buzzes"
chemistry|n,chemistry,n,45,"chemistry, chemistries"
desperately|r,desperately,r,45,desperately
diabetes|n,diabetes,n,45,diabetes
diarrhea|n,diarrhea,n,45,"diarrhea, diarrheas"
dictionary|n,dictionary,n,45,"dictionary, dictionaries"
doorman|n,doorman,n,45,"doorman, doormen"
